source_organization,source_document,country,country_code,geographic_group,fewsnet_region,phase,phase_name,scenario,scenario_name,reporting_date,projection_start,projection_end,data_usage_policy,collection_schedule,low_value,high_value,population_range,pct_phase3,pct_phase4,pct_phase5
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2017-02-01,2017-02-01,2017-02-28,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2017-03-01,2017-03-01,2017-03-31,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2017-04-01,2017-04-01,2017-04-30,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2017-05-01,2017-05-01,2017-05-31,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2017-06-01,2017-06-01,2017-06-30,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2017-07-01,2017-07-01,2017-07-31,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2017-08-01,2017-08-01,2017-08-31,Public,Ad Hoc,2500000.0000000000000000,4999999.0000000000000000,2.5 - 5.0 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2017-09-01,2017-09-01,2017-09-30,Public,Ad Hoc,2500000.0000000000000000,4999999.0000000000000000,2.5 - 5.0 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2017-10-01,2017-10-01,2017-10-31,Public,Ad Hoc,2500000.0000000000000000,4999999.0000000000000000,2.5 - 5.0 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2017-11-01,2017-11-01,2017-11-30,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2017-12-01,2017-12-01,2017-12-31,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2018-01-01,2018-01-01,2018-01-31,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2018-02-01,2018-02-01,2018-02-28,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2018-03-01,2018-03-01,2018-03-31,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2018-04-01,2018-04-01,2018-04-30,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2018-05-01,2018-05-01,2018-05-31,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2018-06-01,2018-06-01,2018-06-30,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2018-07-01,2018-07-01,2018-07-31,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2018-08-01,2018-08-01,2018-08-31,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2018-09-01,2018-09-01,2018-09-30,Public,Ad Hoc,500000.0000000000000000,999999.0000000000000000,0.5 - 1.0 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2018-10-01,2018-10-01,2018-10-31,Public,Ad Hoc,500000.0000000000000000,999999.0000000000000000,0.5 - 1.0 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2018-11-01,2018-11-01,2018-11-30,Public,Ad Hoc,500000.0000000000000000,999999.0000000000000000,0.5 - 1.0 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2018-12-01,2018-12-01,2018-12-31,Public,Ad Hoc,500000.0000000000000000,999999.0000000000000000,0.5 - 1.0 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2019-01-01,2019-01-01,2019-01-31,Public,Ad Hoc,500000.0000000000000000,999999.0000000000000000,0.5 - 1.0 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2019-02-01,2019-02-01,2019-02-28,Public,Ad Hoc,500000.0000000000000000,999999.0000000000000000,0.5 - 1.0 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2019-03-01,2019-03-01,2019-03-31,Public,Ad Hoc,500000.0000000000000000,999999.0000000000000000,0.5 - 1.0 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2019-04-01,2019-04-01,2019-04-30,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2019-05-01,2019-05-01,2019-05-31,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2019-06-01,2019-06-01,2019-06-30,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2019-07-01,2019-07-01,2019-07-31,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2019-08-01,2019-08-01,2019-08-31,Public,Ad Hoc,2500000.0000000000000000,4999999.0000000000000000,2.5 - 5.0 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2019-09-01,2019-09-01,2019-09-30,Public,Ad Hoc,2500000.0000000000000000,4999999.0000000000000000,2.5 - 5.0 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2019-11-01,2019-11-01,2019-11-30,Public,Ad Hoc,2500000.0000000000000000,4999999.0000000000000000,2.5 - 5.0 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2019-12-01,2019-12-01,2019-12-31,Public,Ad Hoc,2500000.0000000000000000,4999999.0000000000000000,2.5 - 5.0 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2020-01-01,2020-01-01,2020-01-31,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2020-02-01,2020-02-01,2020-02-29,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2020-03-01,2020-03-01,2020-03-31,Public,Ad Hoc,1000000.0000000000000000,2499999.0000000000000000,1.0 - 2.5 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2021-10-01,2021-10-01,2021-10-31,Public,Ad Hoc,2500001.0000000000000000,4999999,2.5 - 4.99 million,,,
FEWS NET,Food Assistance Outlook Brief,Kenya,KE,Eastern Africa,East Africa,3+,Phase 3 and above,CS,Current Situation,2023-02-01,2023-02-01,2023-02-28,Public,Ad Hoc,4000001.0000000000000000,4999999,2.5 - 4.99 million,,,
